envio_id;transportadora_id;filial_origem_id;data_coleta;data_prometida;data_entrega;uf_origem;uf_destino;regiao_destino;distancia_km;peso_kg;valor_declarado;valor_frete;modal;categoria_produto;status;motivo
1;1;8;2024-09-12 17:26:00;2024-09-17;2024-09-17 17:26:00;PE;MS;Centro-Oeste;1889;0.53;185.89;31.24;Rodoviário;Livros;Entregue;
2;1;9;2024-01-30 17:40:00;2024-02-04;2024-02-04 17:40:00;CE;RS;Sul;1774;6.23;118.88;55.38;Rodoviário;Casa e Cozinha;Entregue;
3;1;4;2024-01-10 14:54:00;2024-01-15;2024-01-15 14:54:00;MG;PE;Nordeste;1874;2.38;126.77;34.58;Rodoviário;Alimentos;Entregue;
4;6;10;2024-12-30 20:55:00;2025-01-03;2025-01-03 20:55:00;BA;SP;Sudeste;1116;7.09;163.33;50.01;Rodoviário;Esportes;Entregue;
5;2;10;2024-06-03 15:17:00;2024-06-08;2024-06-08 15:17:00;BA;GO;Centro-Oeste;1557;0.89;49.48;30.21;Rodoviário;Brinquedos;Entregue;
6;1;13;2024-12-13 18:59:00;2024-12-20;2024-12-20 18:59:00;PA;MA;Nordeste;3288;0.45;177.11;36.32;Rodoviário;Vestuário;Entregue;
7;4;8;2024-10-31 06:38:00;2024-11-02;2024-11-02 06:38:00;PE;PE;Nordeste;122;1.14;197.06;17.23;Rodoviário;Brinquedos;Entregue;
8;5;5;2024-08-02 10:56:00;2024-08-06;2024-08-06 10:56:00;PR;BA;Nordeste;1127;2.5;36.78;35.47;Rodoviário;Casa e Cozinha;Entregue;
9;4;4;2024-10-07 07:27:00;2024-10-11;2024-10-11 07:27:00;MG;DF;Centro-Oeste;961;0.61;51.79;19.57;Rodoviário;Livros;Entregue;
10;6;1;2024-05-09 21:10:00;2024-05-12;2024-05-12 21:10:00;SP;MG;Sudeste;655;9.19;318.02;43.64;Rodoviário;Ferramentas;Entregue;
11;4;11;2024-05-19 13:07:00;2024-05-22;2024-05-22 13:07:00;GO;SP;Sudeste;648;0.65;24.4;18.11;Rodoviário;Beleza;Entregue;
